Amazon,FK
"{'title': '', 'price': '', 'review': '', 'ratings': ''}",
"{'title': '', 'price': '', 'review': '', 'ratings': ''}",
"{'title': '', 'price': '', 'review': '', 'ratings': ''}",
"{'title': 'GOBASS 411 in-Ear Wired Earphones with Mic', 'price': '', 'review': '', 'ratings': ''}",
"{'title': '', 'price': '', 'review': '', 'ratings': ''}",
"{'title': 'GOBASS 444 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Platinum Black)', 'price': '', 'review': '', 'ratings': ''}",
"{'title': 'GOBASS 444 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Blue)', 'price': '₹349', 'review': '', 'ratings': ''}",
"{'title': 'GOBASS 444 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (White)', 'price': '₹349', 'review': '', 'ratings': ''}",
"{'title': 'GOVO GOBASS 455 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Platinum Black)', 'price': '₹349', 'review': '3.7 3.7 out of 5 stars', 'ratings': '189 ratings'}",
"{'title': 'GOVO GOBASS 455 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Blue)', 'price': '', 'review': '4.1 4.1 out of 5 stars', 'ratings': '92 ratings'}",
"{'title': 'GOVO GOBASS 455 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (White)', 'price': '', 'review': '4.0 4.0 out of 5 stars', 'ratings': '77 ratings'}",
"{'title': 'GOVO GOBASS 610 in Ear Wired Earphones with Mic for Calls, 12mm Dynamic Driver, Noise Cancellation, 3.5mm Jack (Platinum Black)', 'price': '₹349', 'review': '3.7 3.7 out of 5 stars', 'ratings': '538 ratings'}",
"{'title': 'GOVO GOBASS 900 Wired in Ear Earphones with HD Mic for Loud & Clear Call, 10mm Powerful Drivers, Passive Noise Cancellation (Platinum Black)', 'price': '₹548', 'review': '2.6 2.6 out of 5 stars', 'ratings': '196 ratings'}",
"{'title': 'GOVO GOBASS 910 in Ear Wired Earphones with HD Microphone for Calls, 9mm Driver, Noise Cancellation, 3.5mm Jack (Gun Metal Grey)', 'price': '', 'review': '3.8 3.8 out of 5 stars', 'ratings': '315 ratings'}",
"{'title': 'GOVO GOBOLD 400 Wireless On Ear Headphone with Mic, 15H Play Time, 40MM Driver, Passive Noise Cancellation', 'price': '', 'review': '3.9 3.9 out of 5 stars', 'ratings': '37 ratings'}",
"{'title': 'GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with Mic, 15H Play Time, 40MM Driver, Bluetooth 5.2, Passive Noise Cancellation', 'price': '₹1,299', 'review': '3.9 3.9 out of 5 stars', 'ratings': '550 ratings'}",
"{'title': 'GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with Mic, 15H Play Time, 40MM Driver, Bluetooth 5.2, Passive Noise Cancellation', 'price': '₹1,299', 'review': '3.9 3.9 out of 5 stars', 'ratings': '550 ratings'}",
"{'title': 'GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphone with Mic, 15H Play Time, 40MM Driver, Bluetooth 5.2, Passive Noise Cancellation', 'price': '₹1,399', 'review': '3.9 3.9 out of 5 stars', 'ratings': '550 ratings'}",
"{'title': 'GOVO GOBUDS 400 True Wireless in Ear Earbuds with Mic, ENC, 25H Playtime, Fast Charge, Gaming Mode, Bluetooth V5.3, IPX4,Type C, Super Bass & Touch (Platinum Black)', 'price': '₹999', 'review': '3.7 3.7 out of 5 stars', 'ratings': '307 ratings'}",
"{'title': 'GOBUDS 410 True Wireless Earbuds with Mic & 6 Hours Play time, IPX5 Water Resistance, Touch Button Control (Black)', 'price': '₹1,231.22', 'review': '', 'ratings': ''}",
"{'title': 'GOVO GOBUDS 600 True Wireless in Ear Earbuds with Mic, ENC, 40H Playtime, Fast Charge, Gaming Mode, Bluetooth V5.2, IPX5, Type C, Super Bass & Touch (Platinum Black)', 'price': '₹1,299', 'review': '4.2 4.2 out of 5 stars', 'ratings': '1,803 ratings'}",
,
,
,
