website,Title,Price,Date Time Now,,,,,,,,,,
Amazon,"GOVO GOSURROUND 900 | 200W Soundbar, 2.1 Channel Home Theatre, 6.5” Wired Subwoofer, HDMI, AUX, USB & Bluetooth, 4 Equalizer Modes, Stylish Remote & LED Display, RMS 160W (Platinum Black)","₹6,599.00","5/31/2023, 12:53:49 PM",,,,,,,,,,
Amazon,"GOVO GOBUDS 600 True Wireless in Ear Earbuds with Mic, ENC, 40H Playtime, Fast Charge, Gaming Mode, Bluetooth V5.2, IPX5, Type C, Super Bass & Touch (Platinum Black)","₹1,299.00","5/31/2023, 12:53:54 PM",,,,,,,,,,
Amazon,"GOBUDS 410 True Wireless Earbuds with Mic & 6 Hours Play time, IPX5 Water Resistance, Touch Button Control (Black)","₹1,231.22","5/31/2023, 12:53:57 PM",,,,,,,,,,
Amazon,"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphone with Mic, 15H Play Time, 40MM Driver, Bluetooth 5.2, Passive Noise Cancellation","₹1,399.00","5/31/2023, 12:54:05 PM",,,,,,,,,,
Amazon,"GOVO GOBUDS 400 True Wireless in Ear Earbuds with Mic, ENC, 25H Playtime, Fast Charge, Gaming Mode, Bluetooth V5.3, IPX4,Type C, Super Bass & Touch (Platinum Black)",₹999.00,"5/31/2023, 12:54:10 PM",,,,,,,,,,
Amazon,"GOVO GOBASS 910 in Ear Wired Earphones with HD Microphone for Calls, 9mm Driver, Noise Cancellation, 3.5mm Jack (Gun Metal Grey)",,"5/31/2023, 12:54:15 PM",,,,,,,,,,
Amazon,"GOVO GOBASS 410 in Ear Wired Earphones with Mic, 3D Powerful Bass with XL Drivers, Passive Noise Cancellation (Platinum Black)",₹369.00,"5/31/2023, 12:54:19 PM",,,,,,,,,,
Amazon,"GOVO GOBASS 610 in Ear Wired Earphones with Mic for Calls, 12mm Dynamic Driver, Noise Cancellation, 3.5mm Jack (Platinum Black)",₹399.00,"5/31/2023, 12:54:28 PM",,,,,,,,,,
Amazon,"GOVO GOBASS 400 in Ear Wired Earphones with Microphone High Definition, Passive Noise Cancellation for Music, 3.5mm Jack (Platinum Black)",₹299.00,"5/31/2023, 12:54:32 PM",,,,,,,,,,
Amazon,"GOVO GOBASS 900 Wired in Ear Earphones with HD Mic for Loud & Clear Call, 10mm Powerful Drivers, Passive Noise Cancellation (Platinum Black)",₹548.00,"5/31/2023, 12:54:36 PM",,,,,,,,,,
Amazon,GOBASS 411 in-Ear Wired Earphones with Mic,,"5/31/2023, 12:54:41 PM",,,,,,,,,,
Amazon,"GOVO GOBUDS 902 Super Bass, Waterproof IPX4, Passive Noise Cancellation, 3D Stereo Sound, Type C Fast Charging Bluetooth Truly Wireless in Ear Earbuds with Mic(Platinum Black)","₹1,999.00","5/31/2023, 12:54:45 PM",,,,,,,,,,
Amazon,"GOVO GOCRUSH 421 5W Bluetooth Speaker, 1800mAh Battery with 10 Hrs Playtime, IPX7, ABS Fabric and TWS Feature (Platinum Black)","₹1,210.00","5/31/2023, 12:54:49 PM",,,,,,,,,,
Amazon,"GOVO GOCRUSH 900 16W Bluetooth Portable Speaker, 25H Playtime with a 3600 mAh Battery, IPX7 Water & Dust Resistance, Multiple Inputs, AUX & Micro SD, ABS Fabric, TWS Feature, Voice Assistant (Black)","₹2,999.00","5/31/2023, 12:54:54 PM",,,,,,,,,,
Amazon,"GOVO GOCRUSH 410 4W Portable Speaker with Bluetooth - Wireless, 1800mAh Battery with 15H Playtime, IPX7 Water & Dust Resistance, ABS Fabric, Multiple inputs, TWS Feature, Voice Assistant - (Black)",₹999.00,"5/31/2023, 12:54:58 PM",,,,,,,,,,
Amazon,"GOVO GOKIXX 400 Bluetooth in Ear Earphones with HD Mic - Wireless Neckband, 9H Playtime, 10mm Drivers, Magnetic Earbuds, Integrated Controls & Lightweight Design (Platinum Black)",,"5/31/2023, 12:55:02 PM",,,,,,,,,,
